gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,128,2880,torch.float8_e4m3fn,ck,71,0,19.422,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,0.04,19.14,0.0
gfx950,256,2,128,2880,torch.float8_e4m3fn,ck,71,0,19.4771,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,0.08,19.25,0.0
gfx950,256,4,128,2880,torch.float8_e4m3fn,ck,71,0,19.5344,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,0.15,19.51,0.0
gfx950,256,8,128,2880,torch.float8_e4m3fn,ck,71,0,19.5888,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,0.3,20.1,0.0
gfx950,256,16,128,2880,torch.float8_e4m3fn,ck,71,0,19.9328,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,0.59,21.01,0.0
gfx950,256,32,128,2880,torch.float8_e4m3fn,ck,71,0,19.6646,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.2,23.85,0.0
gfx950,256,48,128,2880,torch.float8_e4m3fn,ck,71,0,20.3068,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.74,25.57,0.0
gfx950,256,64,128,2880,torch.float8_e4m3fn,ck,71,0,19.5404,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,2.41,29.14,0.0
gfx950,256,80,128,2880,torch.float8_e4m3fn,ck,71,0,21.0712,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,2.8,29.4,0.0
gfx950,256,96,128,2880,torch.float8_e4m3fn,ck,71,0,19.7713,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,3.58,33.87,0.0
gfx950,256,112,128,2880,torch.float8_e4m3fn,ck,71,0,19.997,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,4.13,36.0,0.0
gfx950,256,128,128,2880,torch.float8_e4m3fn,ck,71,0,19.4852,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,4.84,39.52,0.0
gfx950,256,256,128,2880,torch.float8_e4m3fn,ck,71,0,19.7844,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,9.54,59.21,0.0
gfx950,256,512,128,2880,torch.float8_e4m3fn,ck,71,0,20.0696,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,18.81,98.37,0.0
gfx950,256,1024,128,2880,torch.float8_e4m3fn,ck,71,0,28.2726,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,26.7,126.62,0.0
gfx950,256,2048,128,2880,torch.float8_e4m3fn,ck,71,0,28.8976,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,52.25,235.01,0.0
gfx950,256,4096,128,2880,torch.float8_e4m3fn,ck,71,0,28.6568,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,105.38,461.1,0.0
gfx950,256,8192,128,2880,torch.float8_e4m3fn,ck,71,0,28.3936,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,212.72,917.77,0.0
gfx950,256,16384,128,2880,torch.float8_e4m3fn,ck,71,0,29.8827,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,404.23,1731.73,0.0
gfx950,256,32768,128,2880,torch.float8_e4m3fn,ck,71,0,34.5406,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,699.44,2985.74,0.0
gfx950,256,1,640,2880,torch.float8_e4m3fn,ck,71,0,19.5723,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,0.19,94.39,0.0
gfx950,256,2,640,2880,torch.float8_e4m3fn,ck,71,0,19.6105,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,0.38,94.41,0.0
gfx950,256,4,640,2880,torch.float8_e4m3fn,ck,71,0,19.6349,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,0.75,94.72,0.0
gfx950,256,8,640,2880,torch.float8_e4m3fn,ck,71,0,19.7108,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.5,95.2,0.0
gfx950,256,16,640,2880,torch.float8_e4m3fn,ck,71,0,19.8844,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,2.97,96.04,0.0
gfx950,256,32,640,2880,torch.float8_e4m3fn,ck,71,0,19.9401,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,5.92,99.11,0.0
gfx950,256,48,640,2880,torch.float8_e4m3fn,ck,71,0,20.1303,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,8.79,101.48,0.0
gfx950,256,64,640,2880,torch.float8_e4m3fn,ck,71,0,20.8362,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,11.32,101.24,0.0
gfx950,256,80,640,2880,torch.float8_e4m3fn,ck,71,0,22.5496,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,13.08,96.5,0.0
gfx950,256,96,640,2880,torch.float8_e4m3fn,ck,71,0,23.97,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,14.76,93.56,0.0
gfx950,256,112,640,2880,torch.float8_e4m3fn,ck,71,0,24.6572,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,16.74,93.65,0.0
gfx950,256,128,640,2880,torch.float8_e4m3fn,ck,71,0,24.564,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,19.21,96.71,0.0
gfx950,256,256,640,2880,torch.float8_e4m3fn,ck,71,0,27.0279,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,34.92,107.6,0.0
gfx950,256,512,640,2880,torch.float8_e4m3fn,ck,71,0,28.0189,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,67.36,141.8,0.0
gfx950,256,1024,640,2880,torch.float8_e4m3fn,ck,71,0,28.0356,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,134.65,217.69,0.0
