M,N,K
1,5120,2048
1,2048,4096
1,12288,2048
1,1024,2048
1,2048,512
2,5120,2048
2,2048,4096
2,12288,2048
2,1024,2048
2,2048,512
4,5120,2048
4,2048,4096
4,12288,2048
4,1024,2048
4,2048,512
8,5120,2048
8,2048,4096
8,12288,2048
8,1024,2048
8,2048,512
16,5120,2048
16,2048,4096
16,12288,2048
16,1024,2048
16,2048,512
32,5120,2048
32,2048,4096
32,12288,2048
32,1024,2048
32,2048,512
64,5120,2048
64,2048,4096
64,12288,2048
64,1024,2048
64,2048,512
128,5120,2048
128,2048,4096
128,12288,2048
128,1024,2048
128,2048,512
