gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,5120,2048,cktile,1,0,9.6605,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,2.17,1086.70,0.0
gfx950,256,1,2048,4096,cktile,1,0,13.2205,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,1.27,635.13,0.0
gfx950,256,1,12288,2048,cktile,1,0,9.7200,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,5.18,2591.82,0.0
gfx950,256,1,1024,2048,cktile,1,0,9.5200,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,0.44,220.72,0.0
gfx950,256,1,2048,512,cktile,14,0,7.7805,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_4,0.27,135.36,0.0
gfx950,256,2,5120,2048,cktile,13,0,13.1200,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,3.20,801.09,0.0
gfx950,256,2,2048,4096,cktile,1,0,16.8000,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,2.00,500.30,0.0
gfx950,256,2,12288,2048,cktile,1,0,13.2800,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,7.58,1899.03,0.0
gfx950,256,2,1024,2048,cktile,1,0,13.0800,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,0.64,160.96,0.0
gfx950,256,2,2048,512,cktile,14,0,11.4400,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_4,0.37,92.46,0.0
gfx950,256,4,5120,2048,cktile,13,0,13.1200,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,6.39,802.97,0.0
gfx950,256,4,2048,4096,cktile,1,0,16.8400,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,3.99,500.08,0.0
gfx950,256,4,12288,2048,cktile,13,0,13.2400,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,15.21,1908.79,0.0
gfx950,256,4,1024,2048,cktile,1,0,13.1200,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,1.28,161.09,0.0
gfx950,256,4,2048,512,cktile,1,0,11.4010,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,0.74,93.59,0.0
gfx950,256,8,5120,2048,cktile,13,0,13.1600,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,12.75,804.26,0.0
gfx950,256,8,2048,4096,cktile,13,0,16.8410,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,7.97,502.00,0.0
gfx950,256,8,12288,2048,cktile,13,0,13.2800,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,30.32,1911.06,0.0
gfx950,256,8,1024,2048,cktile,1,0,13.1200,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,2.56,162.34,0.0
gfx950,256,8,2048,512,cktile,13,0,11.4000,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,1.47,95.21,0.0
gfx950,256,16,5120,2048,cktile,1,0,13.2400,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,25.34,806.83,0.0
gfx950,256,16,2048,4096,cktile,1,0,16.9600,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,15.83,502.34,0.0
gfx950,256,16,12288,2048,cktile,1,0,13.5200,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,59.56,1892.89,0.0
gfx950,256,16,1024,2048,cktile,13,0,13.2405,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,5.07,163.34,0.0
gfx950,256,16,2048,512,cktile,0,0,11.4000,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,2.94,98.45,0.0
gfx950,256,32,5120,2048,cktile,1,0,13.3600,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,50.23,814.29,0.0
gfx950,256,32,2048,4096,cktile,13,0,17.1600,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,31.29,504.12,0.0
gfx950,256,32,12288,2048,cktile,1,0,13.6400,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,118.08,1907.46,0.0
gfx950,256,32,1024,2048,cktile,13,0,13.1200,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,10.23,169.83,0.0
gfx950,256,32,2048,512,cktile,2,0,11.4000,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_1,5.89,104.92,0.0
gfx950,256,64,5120,2048,cktile,1,0,13.6400,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,98.40,826.41,0.0
gfx950,256,64,2048,4096,cktile,1,0,17.2000,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,62.43,518.19,0.0
gfx950,256,64,12288,2048,cktile,1,0,16.4000,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,196.42,1638.40,0.0
gfx950,256,64,1024,2048,cktile,1,0,13.2400,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,20.27,178.19,0.0
gfx950,256,64,2048,512,cktile,2,0,11.4000,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_1,11.77,117.85,0.0
gfx950,256,128,5120,2048,cktile,1,0,16.2400,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,165.29,742.53,0.0
gfx950,256,128,2048,4096,cktile,13,0,17.8000,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,120.65,530.18,0.0
gfx950,256,128,12288,2048,cktile,16,0,19.8010,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_4,325.36,1443.04,0.0
gfx950,256,128,1024,2048,cktile,1,0,13.4000,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,40.06,195.63,0.0
gfx950,256,128,2048,512,cktile,13,0,11.3600,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,23.63,144.23,0.0
