gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,5120,2048,cktile,0,2,9.5200,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,2.20,1102.74,0.0
gfx950,256,1,2048,4096,cktile,3,3,9.5005,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_2,1.77,883.83,0.0
gfx950,256,1,12288,2048,cktile,3,2,10.2800,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_2,4.90,2450.63,0.0
gfx950,256,1,1024,2048,cktile,0,2,9.4010,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,0.45,223.51,0.0
gfx950,256,1,2048,512,cktile,6,1,9.5610,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_1,0.22,110.15,0.0
gfx950,256,2,5120,2048,cktile,16,2,13.0805,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_4,3.21,803.51,0.0
gfx950,256,2,2048,4096,cktile,16,3,13.2000,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_4,2.54,636.74,0.0
gfx950,256,2,12288,2048,cktile,16,2,13.2000,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_4,7.63,1910.54,0.0
gfx950,256,2,1024,2048,cktile,16,2,13.1605,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_4,0.64,159.97,0.0
gfx950,256,2,2048,512,cktile,18,1,13.3200,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x128_intrawave_0x1x0_4,0.31,79.41,0.0
gfx950,256,4,5120,2048,cktile,16,2,13.1200,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_4,6.39,802.97,0.0
gfx950,256,4,2048,4096,cktile,16,3,13.1200,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_4,5.12,641.87,0.0
gfx950,256,4,12288,2048,cktile,0,2,13.3000,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,15.14,1900.17,0.0
gfx950,256,4,1024,2048,cktile,0,2,13.2000,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,1.27,160.12,0.0
gfx950,256,4,2048,512,cktile,6,1,13.2600,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_1,0.63,80.47,0.0
gfx950,256,8,5120,2048,cktile,2,2,13.1600,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_1,12.75,804.26,0.0
gfx950,256,8,2048,4096,cktile,2,3,13.1200,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_1,10.23,644.37,0.0
gfx950,256,8,12288,2048,cktile,0,2,13.4405,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,29.96,1888.23,0.0
gfx950,256,8,1024,2048,cktile,6,3,13.0000,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_1,2.58,163.84,0.0
gfx950,256,8,2048,512,cktile,7,1,13.1600,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_2,1.27,82.48,0.0
gfx950,256,16,5120,2048,cktile,0,2,13.0605,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,25.69,817.91,0.0
gfx950,256,16,2048,4096,cktile,0,3,13.0400,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,20.59,653.35,0.0
gfx950,256,16,12288,2048,cktile,13,1,14.0000,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,57.52,1827.99,0.0
gfx950,256,16,1024,2048,cktile,16,2,13.0600,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_4,5.14,165.60,0.0
gfx950,256,16,2048,512,cktile,6,1,13.1600,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_1,2.55,85.28,0.0
gfx950,256,32,5120,2048,cktile,1,1,13.7600,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,48.77,790.62,0.0
gfx950,256,32,2048,4096,cktile,16,3,13.9205,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_4,38.57,621.44,0.0
gfx950,256,32,12288,2048,cktile,1,1,15.7605,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,102.19,1650.82,0.0
gfx950,256,32,1024,2048,cktile,16,2,13.0405,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_4,10.29,170.87,0.0
gfx950,256,32,2048,512,cktile,4,1,13.3400,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x128_intrawave_0x1x0_1,5.03,89.66,0.0
gfx950,256,64,5120,2048,cktile,0,1,16.0605,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,83.57,701.86,0.0
gfx950,256,64,2048,4096,cktile,16,2,15.0200,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_4,71.49,593.40,0.0
gfx950,256,64,12288,2048,cktile,13,0,18.6600,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,172.63,1439.97,0.0
gfx950,256,64,1024,2048,cktile,0,2,13.2000,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,20.34,178.73,0.0
gfx950,256,64,2048,512,cktile,17,1,13.1000,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x128_intrawave_0x1x0_3,10.25,102.56,0.0
gfx950,256,128,5120,2048,cktile,1,1,18.6400,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,144.01,646.92,0.0
gfx950,256,128,2048,4096,cktile,1,1,17.5200,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,122.57,538.65,0.0
gfx950,256,128,12288,2048,cktile,1,0,22.9200,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,281.08,1246.67,0.0
gfx950,256,128,1024,2048,cktile,13,2,13.7610,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,39.01,190.50,0.0
gfx950,256,128,2048,512,cktile,6,1,13.2405,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_1,20.27,123.74,0.0
